Date,In Time,Out Time,Online Time,Offline Time,Break Time
18/09/2020,18:05  PM,06:05  AM,00:00 Hour,00:00 Hour,00:00 Hour
19/09/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
20/09/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
21/09/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
22/09/2020,16:28  PM,,00:00 Hour,00:00 Hour,00:00 Hour
23/09/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
25/09/2020,09:30  AM,,00:00 Hour,00:00 Hour,00:00 Hour
29/09/2020,12:55  PM,,00:00 Hour,00:00 Hour,00:00 Hour
05/10/2020,12:04  PM,,00:00 Hour,00:00 Hour,00:00 Hour
07/10/2020,17:52  PM,,00:00 Hour,00:01 Hour,00:00 Hour
08/10/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
19/10/2020,14:08  PM,,00:15 Hour,00:00 Hour,00:00 Hour
20/10/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
21/10/2020,17:59  PM,,00:08 Hour,00:09 Hour,00:03 Hour
22/10/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
26/10/2020,15:23  PM,15:49  PM,00:12 Hour,00:37 Hour,00:00 Hour
27/10/2020,,,00:00 Hour,00:00 Hour,00:00 Hour
